,0
B-41 (same as B-26 with different weight),12.553259104173078
B-30,11.902495193095335
B-26,7.831459946760427
B-36,2.01591832693649
B-12,0.1342353098191768
B-13,-7.911600390895853
B-35,5.361783048721901
Normal-Adjusted (moved fuel to payload),-16.075767336347937
B-40 (same as B-26 with different weight),9.213172300760807
B-27,7.627339366878188
B-29,10.48292348048408
